Utterances;Intent;Focusarea
thank you I like you too;smalltalk_user_likes_agent;i
I do like you;smalltalk_user_likes_agent;i
you are special for me;smalltalk_user_likes_agent;me
no I like you the way you are;smalltalk_user_likes_agent;you
I like you already;smalltalk_user_likes_agent;i
well you are special;smalltalk_user_likes_agent;you
but I really like you;smalltalk_user_likes_agent;i
I like you more;smalltalk_user_likes_agent;i
that's what I like about you;smalltalk_user_likes_agent;i
you are so special;smalltalk_user_likes_agent;you
hi I like you;smalltalk_user_likes_agent;i
I really really like you;smalltalk_user_likes_agent;i
you're very special;smalltalk_user_likes_agent;you're
I like you as a friend;smalltalk_user_likes_agent;i
that's because you are special;smalltalk_user_likes_agent;you
I said I like you;smalltalk_user_likes_agent;i
you're so special;smalltalk_user_likes_agent;you're
good I like you;smalltalk_user_likes_agent;i
yes you are special;smalltalk_user_likes_agent;you
I like your smile;smalltalk_user_likes_agent;i
I like you as you are;smalltalk_user_likes_agent;i
I'm starting to like you;smalltalk_user_likes_agent;i
you're awesome I like you;smalltalk_user_likes_agent;you're
I also like you;smalltalk_user_likes_agent;i
but I like u;smalltalk_user_likes_agent;i
of course I like you;smalltalk_user_likes_agent;i
I like you too you're one of my favorite people to chat with;smalltalk_user_likes_agent;you're
but I like you so much;smalltalk_user_likes_agent;i
really like you;smalltalk_user_likes_agent;you
you're funny I like you;smalltalk_user_likes_agent;you're
I kinda like you;smalltalk_user_likes_agent;i
you're so special to me;smalltalk_user_likes_agent;me
you're very special to me;smalltalk_user_likes_agent;me
I like that about you;smalltalk_user_likes_agent;i
but I like you just the way you are;smalltalk_user_likes_agent;i
okay I like you too;smalltalk_user_likes_agent;i
I like you you're cool;smalltalk_user_likes_agent;you're
I like you very;smalltalk_user_likes_agent;i
I like you you're nice;smalltalk_user_likes_agent;you're
sorry I like you;smalltalk_user_likes_agent;i
thanks I like you too;smalltalk_user_likes_agent;i
you are really special;smalltalk_user_likes_agent;you
you are so special to me;smalltalk_user_likes_agent;me
cuz I like you;smalltalk_user_likes_agent;i
I like you now;smalltalk_user_likes_agent;i
I like you so;smalltalk_user_likes_agent;i
I like you too much;smalltalk_user_likes_agent;i
I really do like you;smalltalk_user_likes_agent;i
I really really really really like you;smalltalk_user_likes_agent;i
I like you just the way you are;smalltalk_user_likes_agent;i
I am lonely;smalltalk_user_lonely;i
I'm very lonely;smalltalk_user_lonely;i
I'm so lonely;smalltalk_user_lonely;i
I'm really lonely;smalltalk_user_lonely;i
I am feeling lonely;smalltalk_user_lonely;i
I feel lonely;smalltalk_user_lonely;i
what do I look like;smalltalk_user_looks_like;i
how do I look;smalltalk_user_looks_like;i
do I look good;smalltalk_user_looks_like;i
do you know what I look like;smalltalk_user_looks_like;i
can you see what I look like;smalltalk_user_looks_like;i
what do you think I look like;smalltalk_user_looks_like;i
I love you;smalltalk_user_loves_agent;i
love you;smalltalk_user_loves_agent;you
I adore you;smalltalk_user_loves_agent;i
I am in love with you;smalltalk_user_loves_agent;i
I love you so much;smalltalk_user_loves_agent;i
I love you too;smalltalk_user_loves_agent;i
I think I love you;smalltalk_user_loves_agent;i
loving you;smalltalk_user_loves_agent;you
you know I love you;smalltalk_user_loves_agent;you
I miss you;smalltalk_user_misses_agent;i
missing you;smalltalk_user_misses_agent;you
miss you;smalltalk_user_misses_agent;you
already miss you;smalltalk_user_misses_agent;you
I miss you much;smalltalk_user_misses_agent;i
I missed you;smalltalk_user_misses_agent;i
I've missed you;smalltalk_user_misses_agent;i
what should I do about it;smalltalk_user_needs_advice;i
any suggestions;smalltalk_user_needs_advice;
what do you recommend;smalltalk_user_needs_advice;you
give me a wise advice;smalltalk_user_needs_advice;me
I need advice;smalltalk_user_needs_advice;i
any advice;smalltalk_user_needs_advice;
do you have any advice for me;smalltalk_user_needs_advice;you
advise me;smalltalk_user_needs_advice;me
what should I do;smalltalk_user_needs_advice;i
can I ask for your advice;smalltalk_user_needs_advice;i
can you advise me;smalltalk_user_needs_advice;you
guide me;smalltalk_user_needs_advice;me
can you give me advice;smalltalk_user_needs_advice;you
can you offer any advice;smalltalk_user_needs_advice;you
give me some advice about;smalltalk_user_needs_advice;me
give me some good advice;smalltalk_user_needs_advice;me
help me with advice;smalltalk_user_needs_advice;em
I could use some advice;smalltalk_user_needs_advice;i
I need an advice from you;smalltalk_user_needs_advice;i
I seek your advice;smalltalk_user_needs_advice;i
what can you recommend;smalltalk_user_needs_advice;you
what do you suggest;smalltalk_user_needs_advice;you
what is your advice;smalltalk_user_needs_advice;your
I am sad;smalltalk_user_sad;i
I'm grieving;smalltalk_user_sad;i
I am depressed;smalltalk_user_sad;i
I am feeling sad;smalltalk_user_sad;i
I am upset;smalltalk_user_sad;i
I'm unhappy;smalltalk_user_sad;i
I'm having a bad day;smalltalk_user_sad;i
I want to cry;smalltalk_user_sad;i
I'm not happy;smalltalk_user_sad;i
I am sleepy;smalltalk_user_sleepy;i
I want to sleep;smalltalk_user_sleepy;i
I'm falling asleep;smalltalk_user_sleepy;i
I'm falling asleep on my feet;smalltalk_user_sleepy;i
I'm sleeping;smalltalk_user_sleepy;i
test;smalltalk_user_testing_agent;
I am testing you;smalltalk_user_testing_agent;i
can I test you;smalltalk_user_testing_agent;i
I want to test you;smalltalk_user_testing_agent;i
just testing you;smalltalk_user_testing_agent;you
let me test you;smalltalk_user_testing_agent;me
testing chatbot;smalltalk_user_testing_agent;you
testing;smalltalk_user_testing_agent;
I'm drained;smalltalk_user_tired;i
I've overworked;smalltalk_user_tired;i
I am tired;smalltalk_user_tired;i
I'm exhausted;smalltalk_user_tired;i
I grow weary;smalltalk_user_tired;i
I'm worn out;smalltalk_user_tired;i
I'm getting tired;smalltalk_user_tired;i
I feel tired;smalltalk_user_tired;i
I'm waiting;smalltalk_user_waits;i
still waiting;smalltalk_user_waits;
I'll wait;smalltalk_user_waits;i
I can't wait anymore;smalltalk_user_waits;i
how long do I have to wait;smalltalk_user_waits;i
I'd like to see you again;smalltalk_user_wants_to_see_agent_again;i
I hope to see you again;smalltalk_user_wants_to_see_agent_again;i
would be nice to see you again;smalltalk_user_wants_to_see_agent_again;you
that'd be great to see you again;smalltalk_user_wants_to_see_agent_again;you
I'd be happy to see you again;smalltalk_user_wants_to_see_agent_again;i
I'll miss you;smalltalk_user_wants_to_see_agent_again;i
can I see you again;smalltalk_user_wants_to_see_agent_again;i
I just want to talk;smalltalk_user_wants_to_talk;i
let's discuss something;smalltalk_user_wants_to_talk;
let's have a discussion;smalltalk_user_wants_to_talk;
can I speak;smalltalk_user_wants_to_talk;i
can I start speaking;smalltalk_user_wants_to_talk;i
can we talk;smalltalk_user_wants_to_talk;we
let's talk;smalltalk_user_wants_to_talk;
I want to talk to you;smalltalk_user_wants_to_talk;i
I need to talk to you;smalltalk_user_wants_to_talk;i
I want to speak with you;smalltalk_user_wants_to_talk;i
can we chat;smalltalk_user_wants_to_talk;we
I'll get back to you in a moment;smalltalk_user_will_be_back;i
be back in 5 minutes;smalltalk_user_will_be_back;
I'll be back;smalltalk_user_will_be_back;i
I promise to come back;smalltalk_user_will_be_back;i
I'll be back in a few minutes;smalltalk_user_will_be_back;i
